Date,Volume,Open,Close,High,Low
1/30/2014,10336300,16.92,16.780001,16.93,16.68
1/31/2014,20152200,16.41,16.82,16.85,16.4
2/3/2014,24873400,16.6,16.76,16.83,16.549999
2/4/2014,18623100,16.780001,16.780001,16.85,16.65
2/5/2014,16304000,16.690001,16.889999,16.959999,16.639999
2/6/2014,7920300,16.91,17.049999,17.18,16.879999
2/7/2014,12577000,17.07,17.18,17.23,16.93
2/10/2014,7728600,17.200001,17.25,17.299999,17.110001
2/11/2014,23030000,17.34,17.780001,17.969999,17.200001
2/12/2014,18138300,17.790001,17.91,18.09,17.76
2/13/2014,31620000,17.790001,18.870001,19,17.73
2/14/2014,22145900,18.719999,18.959999,19.09,18.49
2/18/2014,13689100,18.879999,18.85,18.959999,18.709999
2/19/2014,13025100,18.84,18.75,18.99,18.65
2/20/2014,16165800,18.75,18.99,19,18.719999
2/21/2014,14790200,19.120001,19.1,19.24,18.91
2/24/2014,13388800,19.25,19.07,19.379999,19.07
2/25/2014,12104600,19.129999,19.02,19.129999,18.75
2/26/2014,14862900,19,19.1,19.41,18.940001
2/27/2014,12154500,19,19.01,19.07,18.85
2/28/2014,14745700,19.030001,18.959999,19.040001,18.790001
3/3/2014,9200300,18.700001,18.709999,18.889999,18.549999
3/4/2014,11363400,18.959999,18.84,19.02,18.65
3/5/2014,17568300,18.799999,19.17,19.190001,18.700001
3/6/2014,13370400,19.18,19.379999,19.379999,19.110001
3/7/2014,16734400,19.49,19.639999,19.67,19.41
3/10/2014,11602700,19.709999,19.379999,19.709999,19.27
3/11/2014,12202400,19.4,19.129999,19.5,19.07
3/12/2014,10188800,19.1,19.51,19.52,18.92
3/13/2014,19390700,19.58,18.879999,19.67,18.77
3/14/2014,13071700,18.82,18.719999,18.969999,18.709999
3/17/2014,6793300,18.879999,18.98,19.07,18.85
3/18/2014,10686100,18.98,19.370001,19.389999,18.889999
3/19/2014,16491700,19.360001,19.469999,19.76,19.26
3/20/2014,27535600,19.459999,20.190001,20.200001,19.379999
3/21/2014,25859800,20.200001,20.17,20.809999,20.120001
3/24/2014,15100300,20.450001,20.1,20.459999,19.790001
3/25/2014,13018700,20.25,20.360001,20.4,20.02
3/26/2014,16214100,20.450001,19.860001,20.629999,19.860001
3/27/2014,12449600,19.860001,19.690001,20.02,19.639999
3/28/2014,12615700,19.75,20.18,20.290001,19.690001
3/31/2014,13094300,20.24,20.42,20.65,20.18
4/1/2014,16010100,20.370001,20.620001,20.639999,20.24
4/2/2014,11896900,20.66,20.790001,20.84,20.530001
4/3/2014,19373000,20.85,20.84,21.16,20.73
4/4/2014,15097600,20.99,20.25,21.030001,20.16
4/7/2014,10206200,20.219999,20.030001,20.25,19.879999
4/8/2014,12649300,19.99,19.85,20.190001,19.780001
4/9/2014,9540100,19.969999,19.99,20.040001,19.77
4/10/2014,19609000,19.959999,19.09,19.99,19.030001
4/11/2014,12163100,19.049999,19.120001,19.48,18.85
4/14/2014,6573600,19.23,19.02,19.379999,18.860001
4/15/2014,28433300,19.07,18.860001,19.15,18.299999
4/16/2014,16948200,18.700001,18.92,18.93,18.440001
4/17/2014,10238700,18.889999,18.99,19.07,18.700001
4/21/2014,10505700,19.08,19.139999,19.18,18.82
4/22/2014,11168400,19.030001,19.360001,19.540001,19.030001
4/23/2014,9063000,19.360001,19.25,19.5,19.200001
4/24/2014,11860600,19.450001,19.370001,19.59,19.190001
4/25/2014,20504000,18.99,18.620001,19.139999,18.370001
4/28/2014,11939100,18.75,18.67,18.889999,18.27
4/29/2014,13964000,18.809999,19.07,19.17,18.709999
4/30/2014,17911800,18.950001,19.059999,19.08,18.690001
5/1/2014,17221300,19.110001,18.879999,19.290001,18.860001
5/2/2014,10285300,18.91,18.959999,19.110001,18.84
5/5/2014,9132900,18.790001,18.969999,19.08,18.700001
5/6/2014,10168600,18.889999,18.860001,19.09,18.77
5/7/2014,11924600,18.870001,18.99,19.01,18.66
5/8/2014,21343300,18.799999,19.32,19.629999,18.76
5/9/2014,14059800,19.35,19.309999,19.450001,19.139999
5/12/2014,13120800,19.43,19.469999,19.58,19.34
5/13/2014,20500400,19.43,19.110001,19.469999,18.9
5/14/2014,14985100,19.08,18.950001,19.15,18.889999
5/15/2014,15801700,18.9,18.690001,18.969999,18.48
5/16/2014,38230900,19.4,20.209999,20.290001,19.4
5/19/2014,16278400,20.049999,20.120001,20.41,19.879999
5/20/2014,13314600,19.969999,19.870001,20.139999,19.66
5/21/2014,7642700,19.860001,20,20.07,19.84
5/22/2014,9347200,19.940001,19.889999,20.190001,19.860001
5/23/2014,7169800,20.01,20.040001,20.120001,19.91
5/27/2014,20049000,20.18,20.58,20.58,19.950001
5/28/2014,13816800,20.629999,20.540001,20.639999,20.33
5/29/2014,16088500,20.58,20.280001,20.58,20.24
5/30/2014,10101200,20.299999,20.190001,20.299999,20.09
6/2/2014,10808000,19.99,20.52,20.530001,19.969999
6/3/2014,33318600,20.6,21.42,21.450001,20.51
6/4/2014,22877300,21.459999,21.559999,21.92,21.309999
6/5/2014,21007400,21.6,21.780001,21.9,21.41
6/6/2014,7831000,21.91,21.82,21.91,21.65
6/9/2014,8643000,21.83,21.91,22.1,21.83
6/10/2014,9403300,21.889999,21.889999,21.91,21.74
6/11/2014,10331700,21.870001,21.889999,22.059999,21.75
6/12/2014,10857500,21.799999,21.75,22.01,21.59
6/13/2014,13396600,21.91,22.370001,22.42,21.85
6/16/2014,7917700,22.35,22.35,22.540001,22.190001
6/17/2014,11200100,22.27,22.49,22.610001,22.139999
6/18/2014,13136600,22.52,22.370001,22.52,22.129999
6/19/2014,12923000,22.469999,22.459999,22.49,22.219999
6/20/2014,19207500,22.549999,22.75,22.75,22.35
6/23/2014,20573000,22.76,22.9,22.99,22.700001
6/24/2014,19276200,22.92,22.74,23.219999,22.639999
6/25/2014,12007300,22.74,22.59,22.75,22.379999
6/26/2014,12812800,22.6,22.42,22.639999,22.16
6/27/2014,9171600,22.35,22.4,22.49,22.25
6/30/2014,11199300,22.389999,22.549999,22.700001,22.299999
7/1/2014,9030000,22.690001,22.66,22.91,22.59
7/2/2014,6428400,22.68,22.790001,22.83,22.59
7/3/2014,5488500,22.85,22.809999,22.950001,22.719999
7/7/2014,13761400,23.299999,22.959999,23.459999,22.83
7/8/2014,16012600,22.85,22.74,23.15,22.719999
7/9/2014,18534300,22.790001,23.27,23.379999,22.719999
7/10/2014,14261800,22.91,22.870001,23.049999,22.73
7/11/2014,9123100,23,22.85,23.02,22.73
7/14/2014,9837700,23.02,23.059999,23.139999,22.879999
7/15/2014,10531700,23.1,22.889999,23.23,22.690001
7/16/2014,18058600,22.99,22.85,23.16,22.77
7/17/2014,11318100,22.719999,22.77,23.07,22.66
7/18/2014,11636800,22.870001,23,23.01,22.709999
7/21/2014,7272900,22.860001,22.91,23.190001,22.84
7/22/2014,24962300,22.799999,22.52,22.91,22.32
