episode,reward,steps,total_assets
1,83.10468757605868,1601,275457.53924543154
2,80.23666189936796,1305,215007.04178671332
3,80.24627093538724,1308,208853.6632597705
4,83.17057594237777,1329,225236.66999238016
5,81.01884553699907,1318,203241.132910556
6,80.98734443544257,1312,215648.94063801636
7,232.02889472625026,2222,306774.0079041792
8,225.99860235683133,2222,226235.27155915136
9,230.12120381824036,2222,362875.0696269229
10,233.33813380445503,2222,384017.9683002991
11,234.28594961049862,2222,459706.71735011076
12,233.5411262344824,2222,416854.3616436256
13,234.99187332474366,2222,480491.41091389506
14,237.2617674523764,2222,539159.3395194142
15,236.50133885790032,2222,595880.0380826138
16,239.69306516144044,2222,672293.8524404028
17,239.23414224711695,2222,629321.071117997
18,239.96453846895022,2222,668142.4294932849
19,238.49373182985005,2222,599370.777251012
20,241.6499610812375,2222,770385.4541278314
21,243.16809459705595,2222,764877.2352460285
22,240.84193825350653,2222,752819.908154565
23,243.66548222760812,2222,906931.1141245526
24,209.04997389296267,1757,1020853.0513100763
25,206.61937193637937,1732,1018741.2513133053
26,205.9316762144168,1728,1019488.8582655124
27,205.7969782040262,1725,1011513.3963120306
28,206.1881582926496,1727,1009649.7696053346
29,204.33386372159973,1703,1026519.6036292493
30,202.8191297905196,1693,1003932.1745988185
31,202.62107092851434,1690,1002236.2799289004
32,203.60119071377986,1693,1001150.4084612813
33,203.6652708287862,1701,1010979.3177832788
34,204.1754020605873,1695,1037072.2032054252
35,203.02829020739858,1690,1029804.9504538889
36,203.05509151344233,1683,1021115.1483747617
37,202.8524203175727,1683,1075140.0802397383
38,199.86957667304017,1665,1012366.4728607499
39,194.69372677556134,1606,1003022.3186338143
40,193.39933071675836,1596,1016692.7460192138
41,195.40214561236533,1616,1002593.7540633866
42,202.0731160778446,1692,1013332.4949548771
43,195.93833660879557,1623,1014214.2744452314
44,196.2380739727865,1625,1002569.308148273
45,194.77395594505958,1606,1001269.6393543594
46,195.72325453490083,1623,1005626.3097309639
47,193.65960851050514,1596,1004500.565870856
48,194.5208838563135,1596,1032693.1804632706
49,192.12262763933518,1587,1004491.8398764227
50,193.501520009444,1596,1021791.4639822751
51,191.9847764531519,1585,1002187.8685362111
52,193.80133544439698,1596,1033278.8419761906
53,191.78488422259247,1576,1015777.5467541154
54,188.4906663030541,1550,1001427.4594445771
55,187.11650822739887,1530,1021555.0936518509
56,191.02609490540723,1565,1011494.0924263976
57,190.8791428328987,1565,1005800.1980189999
58,187.44291849506126,1539,1015872.6247979107
59,186.67854564912648,1528,1003431.7040971975
60,188.07125101497763,1543,1015475.6081722268
61,186.78132424760537,1528,1023592.7887251148
62,187.4972229625844,1530,1024644.2606779339
63,183.7328890436594,1500,1006667.3936846765
64,184.23380878088497,1500,1008044.772700962
65,183.75648788224674,1500,1020001.1350249266
66,187.20067324153666,1528,1026466.1418790317
67,186.87586182934473,1530,1015077.254881492
68,183.21118518308393,1496,1004919.97310219
69,186.14610712381543,1528,1047984.7448145811
70,177.81365979531734,1440,1014361.3727827067
71,184.265346449694,1500,1009419.6190659022
72,183.09139272656,1500,1003594.995852119
73,183.82662214677165,1498,1006902.4118917896
74,183.70681604482712,1498,1003240.2371013084
75,183.01921528129978,1486,1008868.4227765582
76,184.12918149361815,1499,1004656.5409319559
77,183.90003358761106,1499,1002859.7016626403
78,176.35391333008806,1425,1009556.0547750017
79,178.09848251721854,1440,1009225.4187671946
80,176.73105978927478,1424,1008656.8859022809
81,176.3194598539888,1425,1008195.862282258
82,176.71296331962523,1424,1016125.8122767032
83,176.99244268117704,1424,1035920.2164944661
84,175.91863969470396,1424,1009043.0654494704
85,173.5205319303506,1398,1006047.7616816497
86,176.69898457018292,1426,1005905.6896958761
87,172.90338922763334,1389,1015742.5620922406
88,176.548558899572,1424,1004381.0722250378
89,176.92251044812738,1424,1022732.3659652584
90,173.5905163982978,1393,1014370.5544074089
91,172.64841137348986,1391,1000952.084322117
92,173.1770531815866,1389,1003172.6580227977
93,170.36919948219688,1359,1024937.6190084588
94,170.01422695515382,1359,1009210.861225993
95,170.37755537033556,1357,1015249.589252269
96,170.37442671011075,1357,1033875.933047252
97,170.29497493620073,1357,1026645.0020900371
98,173.41363635546196,1393,1001156.7424214482
99,173.4985999055308,1388,1004152.9166775432
100,170.2862181081198,1358,1004787.9813469872
101,173.39002695126555,1388,1003436.3243691069
102,173.6522512599122,1389,1009425.7610116047
103,170.55189903914209,1359,1012529.5137448696
104,177.2645765517702,1424,1012838.6358940869
105,169.9224365041151,1357,1010499.3758437433
106,169.40574931607142,1351,1001715.839748954
107,169.802761550872,1351,1022409.6860393928
108,169.41476029745425,1351,1002814.1858173375
109,169.99431507660526,1357,1019684.7408926429
110,170.32119318437339,1358,1002134.6468982509
111,173.75698098942598,1389,1013592.3479522978
112,170.78162966896141,1359,1017384.9679842442
113,173.97028258724134,1393,1014636.5609567486
114,170.62145220492377,1357,1021746.798885303
115,173.7554353588743,1389,1009704.1096450741
116,173.56976202178404,1389,1000672.7726770368
117,170.8689229128003,1359,1017750.7826950218
118,170.67822573900332,1357,1045840.9215913388
119,170.2876126937908,1355,1009545.8912575061
120,169.92402715543793,1351,1004741.8404022135
121,170.04224408816364,1355,1025717.8469296691
122,170.3636326351332,1357,1021330.4147209919
123,170.2748741726752,1357,1033065.8447713167
124,170.44369339452928,1359,1007471.3355778003
125,170.18125364662959,1357,1043754.8945847279
126,170.38889106527026,1357,1046329.3116975022
127,170.0738042221911,1355,1014677.3970422882
128,169.88657557344243,1355,1006388.4070273855
129,169.9078699089536,1351,1010024.9946772307
130,169.96761679751773,1351,1006025.1962484405
131,170.58947791002436,1355,1027752.1869157475
132,170.3515850380266,1355,1023831.8564122887
133,170.4267424665003,1355,1031713.0890581306
134,170.43859531777034,1355,1022577.4731711752
135,170.4212258720402,1357,1007669.3463119715
136,170.72982315927516,1357,1040948.6898709269
137,170.96251037192926,1357,1044174.6830289537
138,170.75370973255727,1357,1043255.4030235498
139,169.99806403010467,1355,1018596.3399891531
140,170.3883439820779,1355,1017551.9132411318
141,170.2541965837264,1355,1024229.440626148
142,170.70567825290885,1357,1048416.7579051985
143,170.03737287592952,1351,1014222.9603652309
144,168.82661956161027,1342,1003899.2815708444
145,169.0265259255402,1342,1004964.0987335452
146,168.82998262918406,1341,1015724.3083448369
147,169.04452024820748,1341,1027442.7152330613
148,168.71556491759588,1341,1014103.9124739143
149,169.04276822751947,1341,1017085.170957318
150,168.94294133758635,1341,1017139.2227451518
151,168.805202536354,1341,1023447.7219758157
152,168.518807005318,1341,1016632.0809664208
153,168.84705208186725,1343,1005650.5701001624
154,168.95187294347946,1343,1005911.4917817463
155,169.3313113308625,1351,1013383.2661975797
156,168.8953024883472,1341,1021534.7064843385
157,168.8179533901881,1341,1013735.7530402734
158,168.89663000021153,1341,1011506.4111381132
159,168.70451657742512,1341,1012398.5362660285
160,169.015080809064,1343,1005377.3037266362
161,168.84676220458118,1341,1009446.0565203067
162,168.7513145122169,1341,1009858.7647684227
163,168.91048418750296,1341,1005812.1229022597
164,168.67748815245653,1342,1000744.588314567
165,168.68837654565021,1341,1024424.8236186925
166,168.75628267164262,1341,1021242.3494801277
167,169.0910281092174,1343,1005182.6419132258
168,169.12805118485323,1341,1028368.907665504
169,167.93488120151306,1335,1000221.0958972705
170,168.10139838347345,1336,1006850.6118371828
171,170.39180951521084,1357,1003731.8698671337
172,170.095907763431,1355,1029343.0972748923
173,168.1838737383343,1336,1004499.3388499593
174,168.25060923574165,1336,1011312.2627476944
175,168.33604139030967,1336,1009786.6096826355
176,168.97436000264884,1341,1022950.8837805657
177,168.5894738777437,1340,1004390.616127746
178,168.66649755841345,1341,1011603.577959533
179,168.71101842720748,1341,1026112.2112817462
180,168.1900069025069,1336,1004348.9337809534
181,168.9307253337839,1341,1016048.4291656619
182,167.35786035908862,1329,1002775.4320021046
183,167.35204442494032,1328,1011854.0646996322
184,167.34347252300304,1329,1001262.5007804285
185,167.96831345024577,1335,1003372.9587290667
186,168.29072142747196,1336,1015546.0063099129
187,168.05975613255453,1335,1003119.2560964427
188,168.31343900823202,1336,1015857.869889736
189,167.984598962974,1334,1003290.2486257941
190,168.19453924213397,1336,1012503.4175649352
191,168.49103288790573,1341,1011937.5118851118
192,168.8325628803203,1341,1011904.1107833604
193,170.06190338840042,1355,1008597.6107343031
194,168.82067446619175,1343,1003351.0580383838
195,170.0953473872523,1358,1002310.8432824437
196,167.05051100682346,1329,1008954.2447010344
197,168.63938009621626,1342,1006257.762163304
198,170.21057670638953,1355,1034527.6205218282
199,170.35581701112764,1355,1026532.3846794235
200,168.65052415176993,1341,1006764.8063817759
